0.645	0.533	0.624	0.465	0.502	0.571	0.533	0.587	0.346	0.199	0.481	0.618	0.450	0.272	0.275	0.324	0.471	0.492	0.475	0.571	0.550	0.471	0.471	0.465	0.497	0.475	0.624	0.571
0.939	0.778	0.908	0.677	0.732	0.831	0.778	0.697	0.362	0.257	0.621	0.900	0.654	0.292	0.292	0.346	0.685	0.716	0.693	0.831	0.706	0.685	0.685	0.677	0.723	0.693	0.908	0.831
1.075	0.890	1.040	0.776	0.837	0.952	0.890	0.758	0.385	0.292	0.697	1.032	0.749	0.294	0.308	0.384	0.785	0.820	0.793	0.952	0.778	0.785	0.785	0.776	0.828	0.793	1.040	0.952
1.106	0.915	1.070	0.798	0.860	0.978	0.915	0.817	0.407	0.337	0.775	1.060	0.770	0.345	0.358	0.413	0.806	0.843	0.815	0.978	0.861	0.806	0.806	0.798	0.852	0.815	1.070	0.978
1.210	1.001	1.170	0.872	0.942	1.071	1.001	0.892	0.883	0.891	0.889	1.160	0.842	0.814	0.826	0.872	0.883	0.922	0.892	1.071	1.031	0.883	0.883	0.872	0.931	0.892	1.170	1.071
1.249	1.034	1.208	0.901	0.973	1.106	1.034	1.136	0.911	0.963	0.931	1.198	0.871	1.136	1.188	1.212	0.911	0.952	0.921	1.106	1.065	0.911	0.911	0.901	0.963	0.921	1.208	1.106
1.303	1.071	1.251	0.933	1.007	1.145	1.071	1.177	0.943	0.997	0.965	1.241	0.901	1.177	1.230	1.256	0.943	0.986	0.954	1.145	1.103	0.943	0.943	0.933	0.997	0.954	1.251	1.145
1.312	1.086	1.269	0.946	1.022	1.162	1.086	1.194	0.957	1.011	0.978	1.258	0.914	1.194	1.247	1.545	0.957	1.001	0.968	1.162	1.118	0.957	0.957	0.946	1.011	0.968	1.269	1.162
1.289	1.067	1.247	0.930	1.003	1.141	1.067	1.173	0.941	0.993	0.962	1.236	0.898	1.173	1.225	1.223	0.941	0.983	0.951	1.141	1.099	0.941	0.941	0.930	0.993	0.951	1.247	1.141
1.177	0.974	1.138	0.849	0.916	1.041	0.974	1.070	0.858	0.907	0.877	1.128	0.819	1.070	1.118	1.166	0.858	0.896	0.868	1.041	1.002	0.858	0.858	0.849	0.907	0.868	1.138	1.041






